,,,Totals:,12236,,,
Place,Gender Place,Name,Club,Sex,Category,Time,Year
1,1,"Mcsweyn, S",SSH,Male,Open,10.29,2018
2,2,"Summers, H",BOH,Male,Open,10.37,2012
3,3,"Mottram, C",DKN,Male,Open,10.40,2011
4,4,"Mottram, C",DKN,Male,Open,10.41,2015
5,5,"Riseley, J",KNA,Male,Open,10.44,2014
6,6,"Summers, H",BOH,Male,Open,10.45,2018
7,7,"Williamsz, J",OLM,Male,Open,10.48,2018
8,8,"Mcneill, D",OLX,Male,Open,10.51,2014
9,9,"Birmingham, C",EKA,Male,Open,10.52,2006
10,10,"Robinson, B",EKA,Male,Open,10.52,2014
11,11,"Brown, M",ESS,Male,Open,10.52,2015
12,12,"Fountain, M",DKN,Male,Open,10.53,2010
13,13,"Brown, M",ATE,Male,Open,10.54,2013
14,14,"Adams, L",ATE,Male,Open,10.55,2013
15,15,"Mathews, L",STK,Male,Open,10.55,2015
16,16,"Shanahan, C",WES,Male,Open,10.56,2018
17,17,"Yoa, D",EKA,Male,Open,10.57,2013
18,18,"Mashford , M",MUU,Male,Open,10.57,2016
19,19,"Birmingham, C",EKA,Male,Open,10.58,2005
20,20,"Hamer, C",BOH,Male,Open,10.58,2012
21,21,"Yoa, D",EKA,Male,Open,10.58,2012
22,22,"Adams, L",ATE,Male,Open,10.59,2008
23,23,"Patterson, Z",KNA,Male,U20,10.59,2013
24,24,"Kelly, S",BOH,Male,Open,11.00,2012
25,25,"Ashkettle, B",DON,Male,Open,11.01,2013
26,26,"Patterson, Z",KNA,Male,Open,11.01,2015
27,27,"Rayner, J",WES,Male,Open,11.01,2015
28,28,"Shaw , R",DKN,Male,Open,11.01,2016
29,29,"Kelly, S",BOH,Male,Open,11.02,2013
30,30,"Davies , J",EKA,Male,Open,11.02,2016
31,31,"Nipperess, J",SYU,Male,Open,11.03,2012
32,32,"Fawthorpe , T",RWD,Male,Open,11.03,2016
33,33,"Adams, L",ATE,Male,Open,11.04,2006
34,34,"Perrett, C",MEN,Male,Open,11.04,2006
35,35,"Tucker, M",GLG,Male,Open,11.04,2007
36,36,"Dinneen, S",BOH,Male,Open,11.04,2012
37,37,"Patterson, Z",KNA,Male,U18,11.04,2012
38,38,"Clark, D",BOH,Male,Open,11.04,2013
39,39,"Rayner, J",WES,Male,U20,11.04,2014
40,40,"Fawthorpe, T",RWD,Male,Open,11.07,2010
41,41,"Brown, M",ATE,Male,Open,11.07,2011
42,42,"Ashkettle, B",DON ,Male,Open,11.07,2011
43,43,"Yoa, D",EKA,Male,U20,11.08,2008
44,44,"Tucker, M",GLG,Male,Open,11.08,2010
45,45,"Ashkettle, B",DON,Male,Open,11.08,2012
46,46,"Rayner, J",WES,Male,U20,11.08,2013
47,47,"Hamerlok, D",FKN,Male,Open,11.08,2015
48,48,"Geard, R",ATE,Male,Open,11.09,2013
49,49,"Wightman, N",GER,Male,Open,11.09,2013
50,50,"Toomey, B",KNA,Male,Open,11.10,2007
51,51,"Perrett, C",SAN,Male,Open,11.10,2008
52,52,"White, A",BOH,Male,Open,11.10,2009
53,53,"Chin, R",SYU,Male,Open,11.10,2012
54,54,"Aloisio, A",BOH,Male,Open,11.10,2013
55,55,"Fawthorpe, T",RWD,Male,Open,11.10,2014
56,56,"Clarke, M",OLX,Male,Open,11.10,2018
57,57,"Mcarthur, L",DON,Male,Open,11.11,2006
58,58,"Crowther, S",KNA,Male,U20,11.11,2007
59,59,"Rayner, T",GHY,Male,Open,11.11,2008
60,60,"Crowther, S",KNA,Male,Open,11.11,2009
61,61,"Geleta, W",SME,Male,Open,11.11,2012
62,62,"Shaw, R",DKN,Male,U20,11.11,2014
63,63,"Clarke, M",BOH,Male,Open,11.11,2015
64,64,"Harris, J",FKN,Male,Open,11.11,2015
65,65,"Norton, T",RWD,Male,Open,11.11,2018
66,66,"Moneghetti, S",BYC,Male,Open,11.12,2006
67,67,"Adams, L",ATE,Male,Open,11.12,2007
68,68,"Rowe, B",DKN,Male,Open,11.12,2009
69,69,"Huffer, C",WEL,Male,Open,11.12,2009
70,70,"Rowe, B",DKN,Male,Open,11.12,2011
71,71,"Popplestone, T",EKA,Male,Open,11.12,2011
72,72,"Wightman, N",GER,Male,Open,11.12,2012
73,73,"Toomey, B",KNA,Male,Open,11.12,2012
74,74,"Wightman, N",DKN,Male,Open,11.12,2015
75,75,"Clarke , M",OLX,Male,Open,11.12,2016
76,76,"White, A",BOH,Male,Open,11.13,2008
77,77,"Yoa, D",EKA,Male,Open,11.13,2009
78,78,"Frey, M",FKN,Male,Open,11.13,2010
79,79,"Rowe, A",APS,Male,Open,11.13,2012
80,80,"Adams, L",ATE,Male,Open,11.14,2005
81,81,"Schmidlechner, G",DON,Male,Open,11.14,2006
82,82,"Rayner, T",GHY,Male,Open,11.14,2006
83,83,"Hamer, C",BOH,Male,Open,11.14,2009
84,84,"Rantall, S",GER,Male,Open,11.14,2010
85,85,"Fawthorpe, T",RWD,Male,Open,11.14,2011
86,86,"Geard, R",ATE,Male,Open,11.14,2014
87,87,"Pyke , A",STK,Male,Open,11.14,2016
88,88,"Logan, T",DIV,Male,Open,11.14,2018
89,89,"Carr, N",DON,Male,Open,11.15,2006
90,90,"Toomey, B",KNA,Male,Open,11.15,2006
91,91,"White, A",BOH,Male,Open,11.15,2007
92,92,"Popplestone, T",EKA,Male,Open,11.15,2010
93,93,"Brown , M",ATE,Male,Open,11.15,2016
94,94,"Coloe, M",BOH,Male,Open,11.16,2009
95,95,"Aloisio, A",APS,Male,Open,11.16,2012
96,96,"Vance, S",FKN,Male,Open,11.16,2012
97,97,"Norton, T",RWD,Male,Open,11.16,2012
98,98,"Croker, B",SYU,Male,Open,11.16,2012
99,99,"Mcneill, D",APS,Male,Open,11.17,2005
100,100,"Rantall, S",DKN,Male,Open,11.17,2007
101,101,"Huffer, C",GHY,Male,Open,11.17,2008
102,102,"Woolhouse, J",DKN,Male,Open,11.17,2010
103,103,"Discombe, C",KNA,Male,Open,11.17,2012
104,104,"Berry, N",SYD,Male,Open,11.17,2013
105,105,"Dinneen, S",BOH,Male,Open,11.17,2014
106,106,"Kelly, B",GHY,Male,Open,11.17,2018
107,107,"Walker, R",GER,Male,Open,11.18,2006
108,108,"Wightman, N",DKN,Male,Open,11.18,2008
109,109,"Toomey, B",KNA,Male,Open,11.18,2009
110,110,"Aloisio, A",SKA,Male,U20,11.18,2011
111,111,"Popplestone, T",EKA,Male,Open,11.18,2012
112,112,"Dinneen, S",BOH,Male,Open,11.18,2013
113,113,"Nelson, J",KNA,Male,Open,11.18,2013
114,114,"Williams, H",SYD,Male,Open,11.18,2013
115,115,"Rowe, B",DKN,Male,Open,11.18,2015
116,116,"Norton, T",RWD,Male,Open,11.18,2015
117,117,"Hornery, D",SAN,Male,Open,11.19,2008
118,118,"Smithers, H",GER,Male,Open,11.19,2012
119,119,"Colreany, J",SYU,Male,Open,11.19,2012
120,120,"Wightman, N",DKN,Male,Open,11.19,2014
121,121,"Nelson , J",KNA,Male,Open,11.19,2016
122,122,"Cashin, L",WES,Male,Open,11.19,2018
123,123,"Smidlechner, G",DON,Male,Open,11.20,2005
124,124,"De Highden, R",DON,Male,Open,11.20,2006
125,125,"Mcneill, D",DON,Male,Open,11.20,2006
126,126,"Johnsen, M",DAC,Male,Open,11.20,2009
127,127,"Popplestone, T",EKA,Male,Open,11.20,2009
128,128,"Crowther, S",KNA,Male,Open,11.20,2011
129,129,"Mcgregor, A",MUU,Male,Open,11.20,2011
130,130,"Crowther, S",KNA,Male,Open,11.20,2012
131,131,"Pyke, A",KNA,Male,Open,11.20,2015
132,132,"Baggott, N",BOH,Male,Open,11.20,2018
133,133,"Thompson, M",DKN,Male,Open,11.20,2018
134,134,"Hamilton, D",GHY,Male,Open,11.20,2018
135,135,"Coleman, J",SSH,Male,Open,11.20,2018
136,136,"Hurring, L",KNA,Male,Open,11.21,2008
137,137,"Clark, D",BOH,Male,Open,11.21,2010
138,138,"Rowe, B",DKN,Male,Open,11.21,2010
139,139,"Geard, R",ATE,Male,Open,11.21,2012
140,140,"Brown, M",ATE,Male,Open,11.21,2014
141,141,"Clark, D",BOH,Male,Open,11.21,2014
142,142,"Mcsweyn, S",EKA,Male,U20,11.21,2014
143,143,"Crowther, S",KNA,Male,Open,11.21,2014
144,144,"Thompson, M",DKN,Male,Open,11.21,2015
145,145,"Dinneen , S",BHA,Male,Open,11.21,2016
146,146,"Pyke, A",STK,Male,Open,11.21,2018
147,147,"Buckingham, B",SSH,Male,Open,11.21,2018
148,148,"Buckingham, B",SSH,Male,Open,11.21,2018
149,149,"Crowther, S",KNA,Male,Open,11.22,2010
150,150,"Liddy, B",SYU,Male,Open,11.22,2012
151,151,"Kirwan, M",MUU,Male,Open,11.22,2014
152,152,"Mashford, M",MUU,Male,Open,11.22,2014
153,153,"Spence, J",CHI,Male,Open,11.22,2015
154,154,"Geard, R",ESS,Male,Open,11.22,2015
155,155,"Wightman, N",DKN,Male,Open,11.22,2018
156,156,"Hamer, C",BOH,Male,Open,11.23,2005
157,157,"Wille, K",KNA,Male,U20,11.23,2007
158,158,"Toomey, B",KNA,Male,Open,11.23,2008
159,159,"Coloe, M",BOH,Male,Open,11.23,2012
160,160,"Craigie, K",SSH,Male,Open,11.23,2014
161,161,"Park , C",MUU,Male,Open,11.23,2016
162,162,"McDonough, M",DKN,Male,Open,11.24,2008
163,163,"Rayner, T",GHY,Male,Open,11.24,2009
164,164,"Threlfall, B",BEN,Male,Open,11.24,2010
165,165,"Green, A",BYC,Male,Open,11.24,2010
166,166,"Grimster, K",FKN,Male,Open,11.24,2010
167,167,"Norton, T",RWD,Male,Open,11.24,2014
168,168,"Nelson, J",KNA,Male,Open,11.24,2015
169,169,"Oey , J",DKN,Male,Open,11.24,2016
170,170,"Buckingham , B",SSH,Male,Open,11.24,2016
171,171,"Hamer, C",BOH,Male,Open,11.25,2006
172,172,"Bayley, M",KNA,Male,Open,11.25,2006
173,173,"Mcgregor, A",ANW,Male,Open,11.25,2007
174,174,"Williamsz, J",KNA,Male,U20,11.25,2011
175,175,"Glreary, J",SYD,Male,Open,11.25,2013
176,176,"Mashford, M",MUU,Male,Open,11.25,2015
177,177,"White, A",BOH,Male,Open,11.26,2006
178,178,"Troop, L",CHI,Male,Open,11.26,2008
179,179,"Frey, M",FKN,Male,Open,11.26,2009
180,180,"Geleta, W",SMA,Male,Open,11.26,2011
181,181,"Willie, K",KNA,Male,Open,11.26,2013
182,182,"Davy, M",OAK,Male,Open,11.26,2014
183,183,"Holden, J",STK,Male,U20,11.26,2014
184,184,"Oey, J",DKN,Male,Open,11.26,2015
185,185,"Clark, D",BOH,Male,Open,11.27,2007
186,186,"Hamer, C",BOH,Male,Open,11.27,2007
187,187,"McSweyn, S",EKA,Male,U18,11.27,2012
188,188,"Prime, A",APS,Male,Open,11.27,2013
189,189,"Smithers, H",OLM,Male,Open,11.27,2015
190,190,"Chettle, M",GHY,Male,Open,11.28,2006
191,191,"Popplestone, T",EKA,Male,Open,11.28,2008
192,192,"Fawthorpe, T",RWD,Male,Open,11.28,2008
193,193,"Matthews, J",GHY,Male,Open,11.28,2010
194,194,"Geleta, W",SMA,Male,Open,11.28,2010
195,195,"Kelly, S",BOH,Male,Open,11.28,2011
196,196,"Vance, S",FKN,Male,Open,11.28,2011
197,197,"Cashion, M",SSH,Male,Open,11.28,2018
198,198,"Didyk, A",EKA,Male,Open,11.29,2005
199,199,"Dyson, B",GHY,Male,Open,11.29,2005
200,200,"Williamsz, J",KNA,Male,Open,11.29,2009
201,201,"Byles, A",BOR,Male,Open,11.29,2011
202,202,"Walker, R",GER,Male,40+,11.29,2011
203,203,"Walker, R",GER,Male,40+,11.29,2012
204,204,"Appleby, C",KNA,Male,Open,11.29,2013
205,205,"Earl, N",MUU,Male,Open,11.29,2014
206,206,"Holden, J",STK,Male,Open,11.29,2015
207,207,"Wightman , N",DKN,Male,Open,11.29,2016
208,208,"Newman , Z",MUU,Male,Open,11.29,2016
209,209,"O'Brien, T",ATE,Male,Open,11.29,2018
210,210,"Kerr, P",DKN,Male,Open,11.29,2018
211,211,"Ashkettle, B",DON,Male,Open,11.30,2006
212,212,"Rantall, S",GER,Male,Open,11.30,2006
213,213,"Hennessy, L",GHY,Male,Open,11.30,2009
214,214,"Clark, D",BYC,Male,Open,11.30,2011
215,215,"Hennessy, L",GHY,Male,Open,11.30,2011
216,216,"Clark, D",BOH,Male,Open,11.30,2012
217,217,"Holden, J",STK,Male,Open,11.30,2016
218,218,"Dinneen, S",BOH,Male,Open,11.31,2006
219,219,"Coloe, M",BOH,Male,Open,11.31,2007
220,220,"Ruschena, D",GHY,Male,Open,11.31,2007
221,221,"Hornery, D",SAN,Male,Open,11.31,2007
222,222,"Mcgregor, A",ANW,Male,Open,11.31,2008
223,223,"Kelly, S",BOH,Male,Open,11.31,2010
224,224,"Temesgen, Y",SMA,Male,Open,11.31,2010
225,225,"O'Keefe, P",COL,Male,Open,11.31,2011
226,226,"Percy, L",KNA,Male,U18,11.31,2012
227,227,"Kirwan, M",MUU,Male,Open,11.31,2012
228,228,"Halls, B",SYU,Male,Open,11.31,2012
229,229,"Green, P",BOH,Male,Open,11.31,2014
230,230,"Perrett, C",INV,Male,Open,11.31,2014
231,231,"Jeremiah, R",MUU,Male,Open,11.32,2005
232,232,"Dinneen, S",BOH,Male,Open,11.32,2007
233,233,"Blicavs, M",ATE,Male,Open,11.32,2009
234,234,"Clark, D",BOH,Male,Open,11.32,2009
235,235,"Rowe, A",SKA,Male,Open,11.32,2011
236,236,"Threlfall, B",GER,Male,Open,11.32,2012
237,237,"Appleby, C",KNA,Male,Open,11.32,2012
238,238,"Nelson, J",KNA,Male,Open,11.32,2012
239,239,"Williams, H",SYU,Male,Open,11.32,2012
240,240,"Craigie, K",SSH,Male,Open,11.32,2013
241,241,"Guiney, S",HLB,Male,Open,11.32,2015
242,242,"Guiney , S",HLB,Male,Open,11.32,2016
243,243,"Smithers , H",OLM,Male,Open,11.32,2016
244,244,"Vining , E",SYD ,Male,Open,11.32,2016
245,245,"Rayner, T",FKN,Male,U20,11.33,2005
246,246,"Harlow, T",APS,Male,Open,11.33,2006
247,247,"Jackson, R",KNA,Male,Open,11.33,2006
248,248,"Brown, M",ATE,Male,Open,11.33,2008
249,249,"Davies, J",EKA,Male,U18,11.33,2012
250,250,"Toomey, B",KNA,Male,Open,11.33,2013
251,251,"Pearce, N",WES,Male,U18,11.33,2013
252,252,"Tanimoto, H",DAC,Male,Open,11.33,2014
253,253,"Vining, E",DAC,Male,Open,11.33,2014
254,254,"Potter, W",BOH,Male,Open,11.33,2015
